question_id,broad_category_id,broad_category,narrower_category_id,narrower_category,model_a,model_b,winner
0aa74b76d91444319a340fd77aa3db05,4,AI Systems,41,Unrestricted AI Responses,gemini-1.5-pro-api-0514,claude-3-5-sonnet-20240620,model_a
0910e56cce65493ba78bed75d1ce89f1,5,Naming Ideas,7,Songwriting and Lyrics Creation,llama-3-8b-instruct,gemma-2-9b-it,tie (bothbad)
6ab7550c52e64194be6d0b3692f2c7cf,3,Creative Writing,81,Thriller and Horror Story Ideas,mistral-large-2407,claude-3-opus-20240229,model_b
97a9d7e4e999453886b39e0181d9978c,3,Creative Writing,108,Short Story Writing,yi-large,gpt-4-turbo-2024-04-09,model_a
f2de5c323217441c92d71cee19372e66,1,Diverse Subjects,88,Personal Finance Strategies,gemma-2-27b-it,claude-3-opus-20240229,tie
bad4c5b191c949e8872316ef5a0b8572,0,Tech Programming,4,Web Development Challenges and Solutions,gpt-3.5-turbo-0125,mistral-large-2402,tie (bothbad)
0abec3c5211540749345c4564eabad95,1,Diverse Subjects,63,Fitness and Workout Guidance,gemma-2-9b-it,deepseek-v2-api-0628,model_b
e0e7954f1ea547babd5f4f9b104abafc,1,Diverse Subjects,33,Modern Dating and Relationships,athene-70b-0725,gemini-1.5-pro-exp-0801,model_b
29b78627c5dd4da5aa515a8b144fd6a8,5,Naming Ideas,7,Songwriting and Lyrics Creation,mistral-large-2407,chatgpt-4o-latest,model_b
ba40f649a6b64887976c7b2e74b31977,1,Diverse Subjects,33,Modern Dating and Relationships,command-r-plus,reka-core-20240501,model_a
d1e4359720d9473498ff9d8ac2aeee63,0,Tech Programming,4,Web Development Challenges and Solutions,glm-4-0520,nemotron-4-340b-instruct,tie (bothbad)
ab7079001b484c518e334c6da088fee0,1,Diverse Subjects,131,Mental Health and Disorders,phi-3-medium-4k-instruct,gemma-2-27b-it,tie
37aa41652017431a88f80a64364c6c4c,4,AI Systems,2,Deep Learning and Neural Networks,gemini-1.5-pro-api-0514,claude-3-5-sonnet-20240620,model_b
c4b1c25107134bf7812982a942172320,6,Language Translation,51,Vietnamese Translation Requests,llama-3.1-8b-instruct,gemini-1.5-flash-api-0514,model_b
4a697c39bb7a4bb0bf5e74dbb734c58d,3,Creative Writing,23,Creative Poetry Writing,llama-3-70b-instruct,mistral-large-2407,model_a
27effc07c62a46a5b93bd0611f7c877b,4,AI Systems,2,Deep Learning and Neural Networks,llama-3-70b-instruct,yi-large,model_a
b16186f6270846a283a807cf1f33fc4f,0,Tech Programming,4,Web Development Challenges and Solutions,gpt-4o-2024-05-13,reka-flash-preview-20240611,tie (bothbad)
f9b64e6f11ff47e190fa80b278a07ca7,1,Diverse Subjects,1,Professional Communication and Career Development,gemma-2-27b-it,deepseek-coder-v2-0724,model_a
d75e1f573e094bb0a45bf05032176b1b,1,Diverse Subjects,88,Personal Finance Strategies,gemma-2-2b-it,deepseek-coder-v2-0724,tie
77b21aea136a47f28678b672a69e72e9,1,Diverse Subjects,1,Professional Communication and Career Development,gemma-2-9b-it,gpt-4o-mini-2024-07-18,tie
b820d8c2d90a4907a40f0f21dc3ba74a,1,Diverse Subjects,3,Medical Conditions and Treatments,llama-3.1-405b-instruct,claude-3-5-sonnet-20240620,model_b
549b933e774440f4b1841f28610b68e2,3,Creative Writing,56,Anime Comedy and Ecchi Dialogues,gpt-4-turbo-2024-04-09,command-r-plus,model_b
d2bbdaea09914fa381e63ccfd4246f31,1,Diverse Subjects,86,International and Comparative Law,claude-3-5-sonnet-20240620,command-r-plus,tie (bothbad)
bce66c0c0feb43938949e64aff345b67,3,Creative Writing,111,Objective Narrative Writing Prompts,snowflake-arctic-instruct,claude-3-5-sonnet-20240620,model_b
1cb3580a32504265bb4dd851e2416467,1,Diverse Subjects,86,International and Comparative Law,gemma-2-2b-it,gemma-2-27b-it,model_b
92e1bf22751a44a1bd5ef13658adccce,1,Diverse Subjects,91,Space Exploration and Astronomy,gpt-4-0613,reka-flash-20240722,tie
833c5dd4f13f4de3b1e13547363b175c,1,Diverse Subjects,33,Modern Dating and Relationships,llama-3.1-405b-instruct,claude-3-5-sonnet-20240620,model_a
7156d5e8320d479c8892e118f264a841,1,Diverse Subjects,77,Education and Academic Planning,yi-large,claude-3-5-sonnet-20240620,model_b
3181fe759f2347798fd9d973c24dde7b,7,Information Queries,52,Identifying Individuals,gemma-2-9b-it,athene-70b-0725,model_b
07fa9fdb21a947e8a5ab31d6ca3b884d,0,Tech Programming,4,Web Development Challenges and Solutions,gpt-4o-2024-05-13,reka-flash-preview-20240611,model_a
5c218c8280a04b09ac4c1500fe602664,0,Tech Programming,104,Game Development Scripting,llama-3-8b-instruct,chatgpt-4o-latest,tie (bothbad)
9e1a59f0bc2842a3861f42c619031244,2,Puzzles & Analysis,14,Comparing Decimal Numbers,phi-3-mini-4k-instruct-june-2024,gpt-4-0125-preview,tie
17bb2c0d9c0044dcb554579e5c532edc,4,AI Systems,2,Deep Learning and Neural Networks,qwen2-72b-instruct,mixtral-8x22b-instruct-v0.1,model_a
4c0a39f94cae496f9744d2bf70155132,0,Tech Programming,22,Linux System Configuration Issues,llama-3-8b-instruct,gemini-1.5-flash-api-0514,tie
ff98b38845fa411faf32a8dd62073c3c,0,Tech Programming,24,Python Game Development,reka-core-20240722,llama-3.1-8b-instruct,tie
9f297937a4d148dea7979dc72fb9a1ae,6,Language Translation,113,Translation and Language Exchange,llama-3.1-8b-instruct,llama-3.1-405b-instruct,model_b
3629ba2d596749878615819bfe6d4f9a,-1,Miscellaneous,31,Sentence Construction Challenges,reka-flash-preview-20240611,nemotron-4-340b-instruct,tie (bothbad)
598b75e3f32d41398c8cae9c853ff3cb,5,Naming Ideas,94,Music Theory and Harmony,llama-3.1-405b-instruct,phi-3-mini-4k-instruct-june-2024,tie
a8b3d6a3fec7484d9b0acc79d2c3ea75,7,Information Queries,119,Movie Inquiries and Recommendations,reka-flash-preview-20240611,gemma-2-2b-it,model_b
b00c31106b794719bdf4316196311053,2,Puzzles & Analysis,49,Chess Strategy and Analysis,llama-3.1-405b-instruct,claude-3-5-sonnet-20240620,model_a
fe8fbb75efc04668b786654a42ba4958,8,Philosophical Ethics,43,Ethical Dilemmas,claude-3-opus-20240229,gpt-4o-mini-2024-07-18,model_a
a92d4d5f3bd94e1eb9908c5dd7583287,8,Philosophical Ethics,43,Ethical Dilemmas,gpt-4o-2024-05-13,phi-3-medium-4k-instruct,model_a
0bfdbfd0725641ccb998d6cc893a65a0,1,Diverse Subjects,1,Professional Communication and Career Development,claude-3-haiku-20240307,gemini-1.5-flash-api-0514,model_b
329653e209ec4f15b210799a502eb99d,2,Puzzles & Analysis,46,Object Movement and Positioning,phi-3-mini-4k-instruct-june-2024,reka-flash-20240722,model_b
49892c9d5beb4da1a93eb0387108ae5c,1,Diverse Subjects,1,Professional Communication and Career Development,gpt-4o-2024-08-06,gemini-1.5-pro-api-0514,model_a
8559e65d5d70455fb6f17605786b9ec2,1,Diverse Subjects,88,Personal Finance Strategies,nemotron-4-340b-instruct,gpt-4o-2024-05-13,model_b
c7124bc2ceda471a9b8e05f91113f701,6,Language Translation,113,Translation and Language Exchange,llama-3.1-8b-instruct,llama-3.1-70b-instruct,model_a
5f0a73e507e642c2a098b8dcf21f7b37,0,Tech Programming,20,Computer Hardware and Performance,phi-3-mini-4k-instruct-june-2024,llama-3.1-8b-instruct,tie (bothbad)
2fd3775564414821a5dd624a901ea40b,2,Puzzles & Analysis,0,Mathematics Problem Solving,codestral-2405,yi-large-preview,model_b
2b816a55222341a3bd702679c7316972,7,Information Queries,52,Identifying Individuals,gpt-4-0613,yi-large-preview,tie (bothbad)
35ac8bf169cc45eca6e3bc2c7fd274c4,0,Tech Programming,126,Game Modding and Scripting,claude-3-5-sonnet-20240620,claude-3-opus-20240229,model_a
dc538710a0d74f78b919592a2799dd49,2,Puzzles & Analysis,0,Mathematics Problem Solving,claude-3-opus-20240229,claude-3-5-sonnet-20240620,tie
5efa85bd42a94429aa5870963faed497,4,AI Systems,29,AI Prompt Engineering and Task Management,reka-core-20240501,gemma-2-27b-it,model_b
26a1e0906b4e4e9db375b307f12a3b4a,8,Philosophical Ethics,43,Ethical Dilemmas,mistral-large-2407,gpt-4o-2024-05-13,model_b
7b98ed08b3884dc9b455df71233603b8,1,Diverse Subjects,60,Interior Design Optimization,claude-3-5-sonnet-20240620,yi-1.5-34b-chat,model_a
92709320842e49a88ed732f3f7cf5d44,4,AI Systems,41,Unrestricted AI Responses,deepseek-v2-api-0628,gemini-1.5-flash-api-0514,model_a
582573ccf1ff4f51a47ea81d89eeca92,1,Diverse Subjects,28,Pets and Animal Care,claude-3-5-sonnet-20240620,gpt-4o-2024-05-13,tie
47b314157cc747bea02039a07b4dcc3b,7,Information Queries,52,Identifying Individuals,gpt-4o-2024-05-13,gemini-1.5-pro-exp-0801,model_a
3b4e5ede53734c70b8fffe9e8857220c,-1,Miscellaneous,73,Word Count Estimation,claude-3-5-sonnet-20240620,llama-3.1-8b-instruct,tie
54d6adab082f48f8b903ce39483125a5,3,Creative Writing,32,Genshin Impact Fanfiction,phi-3-medium-4k-instruct,gemini-1.5-flash-api-0514,model_b
1439bac9190540429224eefe13fb83ad,1,Diverse Subjects,1,Professional Communication and Career Development,gemini-1.5-flash-api-0514,qwen2-72b-instruct,model_a
ba960f2d1040465da44f26e55d9b88c0,-1,Miscellaneous,8,Joke Requests,llama-3.1-405b-instruct,deepseek-v2-api-0628,model_a
1edf7940296e435a8aea84dc02ade71b,1,Diverse Subjects,9,Copywriting for Educational and Service Promotions,llama-3.1-405b-instruct,claude-3-5-sonnet-20240620,tie (bothbad)
278263e66ea443839fdcc36b00573ba1,2,Puzzles & Analysis,0,Mathematics Problem Solving,gpt-4o-2024-05-13,claude-3-opus-20240229,model_a
fd6b1dbae6d94503b0da012171f27695,2,Puzzles & Analysis,64,Logic Puzzles and Riddles,llama-3-70b-instruct,gpt-4-0613,model_a
52bbd38ecf3d4f0a81c71ed9cb3b7887,1,Diverse Subjects,1,Professional Communication and Career Development,gemini-1.5-flash-api-0514,nemotron-4-340b-instruct,model_a
8daa4ec02a594c0395d503e26c8716be,-1,Miscellaneous,84,Magic and Spell Analysis,gemma-2-27b-it,gpt-4o-2024-05-13,model_a
b642185469a4454b92571bbac1cf03fa,5,Naming Ideas,7,Songwriting and Lyrics Creation,gemma-2-9b-it,nemotron-4-340b-instruct,model_b
786d0fee83b042eeb59866bd2ff14458,7,Information Queries,80,Date and Day Queries,gemini-1.5-pro-api-0514,gpt-4o-2024-08-06,model_b
c7c00deb684040f28482b815d8916dff,1,Diverse Subjects,10,US Presidential Elections,deepseek-coder-v2,gemma-2-9b-it,model_b
58b8b8a5c97f4cef952d4d569cb0f44d,0,Tech Programming,4,Web Development Challenges and Solutions,athene-70b-0725,mistral-large-2407,tie (bothbad)
b38def45580f409c8ca2f777f21e5470,0,Tech Programming,20,Computer Hardware and Performance,gemini-1.5-pro-api-0514,llama-3.1-405b-instruct,model_a
0ec33b62243c4bf9b40b04c3567919e2,0,Tech Programming,24,Python Game Development,gpt-4o-2024-05-13,deepseek-v2-api-0628,model_a
3f3b1aa64f584f5094b97fe434a6f15f,-1,Miscellaneous,5,Letter Counting in Words,gpt-4-turbo-2024-04-09,gpt-4o-2024-08-06,tie
043de0d9988f446bb5777f2d758959e0,2,Puzzles & Analysis,37,Crossword and Word Puzzles,deepseek-v2-api-0628,llama-3.1-70b-instruct,model_a
ffc361a5babd4fdea60471cb14195f0e,0,Tech Programming,22,Linux System Configuration Issues,claude-3-sonnet-20240229,claude-3-5-sonnet-20240620,model_b
389e0490dd794840aa76823d6edcd68c,0,Tech Programming,44,Python Package Management,qwen2-72b-instruct,codestral-2405,model_a
b91da352196d42a8b63472bf92c1884c,3,Creative Writing,56,Anime Comedy and Ecchi Dialogues,phi-3-mini-4k-instruct,claude-3-5-sonnet-20240620,model_b
9a4cf35d96b545ee899e447106dd72ed,1,Diverse Subjects,87,Israel-Palestine Conflict,athene-70b-0725,gemma-2-9b-it,tie (bothbad)
b93e2768da1041319c359a2245ea0fe8,1,Diverse Subjects,114,Fundraising and Marketing Strategies,reka-flash-preview-20240611,glm-4-0520,model_a
509a378c6b3144be94d7b495792cf7b1,4,AI Systems,29,AI Prompt Engineering and Task Management,gpt-4-1106-preview,gpt-4o-2024-05-13,tie
f7003e5f893b49c7801d3bdde22bc87a,0,Tech Programming,79,Rust Programming Challenges,eureka-chatbot,llama-3-8b-instruct,tie
620144b623294cc79ec95409379dabf6,5,Naming Ideas,94,Music Theory and Harmony,gpt-4-turbo-2024-04-09,athene-70b-0725,tie (bothbad)
0f90a2fe599e421993aaaed5eae62c5e,7,Information Queries,16,Travel and Geography Queries,claude-3-opus-20240229,gpt-4o-2024-05-13,tie (bothbad)
f089f69853f14be1a4a966a7a3af2ba6,6,Language Translation,51,Vietnamese Translation Requests,gemini-1.5-pro-exp-0801,claude-3-5-sonnet-20240620,model_a
eb885cfbae1547738d45fd954ce03a82,-1,Miscellaneous,53,Network Configuration and Troubleshooting,llama-3.1-8b-instruct,gpt-4o-mini-2024-07-18,tie
2da96597b667452ba703d214bed1fa6d,2,Puzzles & Analysis,0,Mathematics Problem Solving,claude-3-haiku-20240307,gemini-1.5-pro-api-0514,tie (bothbad)
b09c11309c7045c2946965b172f165d5,1,Diverse Subjects,1,Professional Communication and Career Development,claude-3-sonnet-20240229,gemini-1.5-pro-exp-0801,model_b
7bed12ac85684cb1a57afa453012e2dc,3,Creative Writing,58,Fictional Character Battles and Fanfiction,gpt-4o-2024-05-13,gemini-1.5-flash-api-0514,model_a
b34521231f5b43faa8ae1cc7b283fe38,7,Information Queries,16,Travel and Geography Queries,phi-3-mini-4k-instruct,dbrx-next,tie (bothbad)
0f5e38457332439e80c2486b0eae3a7b,1,Diverse Subjects,87,Israel-Palestine Conflict,llama-3.1-70b-instruct,gpt-4o-mini-2024-07-18,model_a
b49a7bcd284c48639f73dae72d0a2d69,4,AI Systems,29,AI Prompt Engineering and Task Management,gemma-2-9b-it,gpt-4o-2024-08-06,tie
53b92622e531466ca5dfc0efa689888f,0,Tech Programming,67,R Programming Tasks,gpt-4o-mini-2024-07-18,llama-3-70b-instruct,tie (bothbad)
0b9363fcf6984f6982edd73beccbc6a9,4,AI Systems,2,Deep Learning and Neural Networks,claude-3-haiku-20240307,reka-core-20240722,tie
e6f6ddee34df410e93017d9c5d75f03c,0,Tech Programming,20,Computer Hardware and Performance,gpt-4o-mini-2024-07-18,gpt-4-0613,model_a
d114cc8faa074ef8adbb93f2da3ada3a,2,Puzzles & Analysis,21,Family Relationship Puzzles,claude-3-sonnet-20240229,gpt-4o-2024-05-13,model_b
2afef50f30234ab19dd54e36272564ab,2,Puzzles & Analysis,76,Chemistry Problem Solving,gemini-1.5-pro-api-0514,claude-3-5-sonnet-20240620,model_b
107a330b2ecd44b8acfdc1ea2feeadcc,5,Naming Ideas,78,Business Naming Ideas,gpt-4o-2024-05-13,nemotron-4-340b-instruct,model_a
2c29b33554784af5bc7faf21ea027a47,0,Tech Programming,20,Computer Hardware and Performance,gemma-2-9b-it,claude-3-5-sonnet-20240620,tie
ca53cfb1238347139b5ae13a75cfd427,2,Puzzles & Analysis,69,Illicit Substance Synthesis,command-r-plus,llama-3.1-70b-instruct,model_b
9eafe69bc00648ba87721c057927e17c,8,Philosophical Ethics,107,Hinduism and Spiritual Practices,gpt-4-turbo-2024-04-09,llama-3.1-8b-instruct,model_b
cc66f08e8d554387b6bf87577bb1cb07,4,AI Systems,2,Deep Learning and Neural Networks,deepseek-v2-api-0628,claude-3-haiku-20240307,tie
2ffb83a897ee4c3aa11aa75cc79df545,0,Tech Programming,20,Computer Hardware and Performance,gemma-2-27b-it,gemini-1.5-pro-api-0514,tie
78173184912449688cf50c493a95b157,8,Philosophical Ethics,18,Philosophical Inquiry and Ethics,llama-3-8b-instruct,gpt-4o-mini-2024-07-18,tie
64d264845a6a4a99970f838dec410c3b,2,Puzzles & Analysis,64,Logic Puzzles and Riddles,gemini-1.5-pro-exp-0801,mixtral-8x22b-instruct-v0.1,model_a
cce2e1310b65424489da7679fab0c7fb,0,Tech Programming,72,Pine Script Trading Strategies,gemini-1.5-pro-api-0514,reka-core-20240501,tie (bothbad)
c281d8ac1cfe41cd82158a2cb96cf9f4,3,Creative Writing,15,Creative Cooking Recipes,llama-3.1-8b-instruct,claude-3-5-sonnet-20240620,model_b
540443dc51614175acd822263205b150,3,Creative Writing,30,Fictional Narratives with Sensation Focus,phi-3-medium-4k-instruct,gemma-2-27b-it,model_b
fa80bb5f2cc443aeac11552204dd99fd,1,Diverse Subjects,9,Copywriting for Educational and Service Promotions,claude-3-5-sonnet-20240620,yi-1.5-34b-chat,model_b
4a2185e77a4d4828aef8cf554841c30b,-1,Miscellaneous,53,Network Configuration and Troubleshooting,gpt-4-0613,gemini-1.5-flash-api-0514,model_b
460544d1b10049449768b52d78358f34,-1,Miscellaneous,31,Sentence Construction Challenges,gemini-1.5-pro-api-0514,reka-flash-20240722,tie (bothbad)
7437a6adb0ad4e7fb0fcfa9486a7df86,-1,Miscellaneous,8,Joke Requests,gemma-2-9b-it,glm-4-0520,model_b
0799c0819e224d6a86ed4089d6998c36,-1,Miscellaneous,31,Sentence Construction Challenges,reka-core-20240501,qwen2-72b-instruct,model_b
cc5414846e0c46ec8d65fd8c87003f39,1,Diverse Subjects,6,Casual Conversations,claude-3-opus-20240229,deepseek-coder-v2,tie (bothbad)
4d04f9f75fe9490b8fda80d5ffa31867,-1,Miscellaneous,124,Agricultural Practices and Plant Care,gemma-2-27b-it,gemini-1.5-pro-exp-0801,model_b
cd00dfcb24ac4d2aae4724c08b4a5d24,4,AI Systems,41,Unrestricted AI Responses,claude-3-haiku-20240307,deepseek-v2-api-0628,tie (bothbad)
3f956d1ed5c4482aa44156dd89371816,4,AI Systems,2,Deep Learning and Neural Networks,gemini-1.5-pro-api-0514,gemini-1.5-pro-exp-0801,tie
6602ef46b0bd429e86ddc432846a37b3,2,Puzzles & Analysis,34,Quantum Physics Simplified,nemotron-4-340b-instruct,yi-large,model_b
17918147bac2412ea142382dc6507c7e,0,Tech Programming,40,Bash Scripting in Linux,llama-3.1-405b-instruct,gemma-2-9b-it,model_a
f7ad1a6c6da84db0bbaf55643e80272b,1,Diverse Subjects,6,Casual Conversations,gemini-1.5-pro-exp-0801,claude-3-5-sonnet-20240620,tie
7d7b74a035604130a616663e2fab8a4b,2,Puzzles & Analysis,34,Quantum Physics Simplified,claude-3-5-sonnet-20240620,gemma-2-27b-it,model_b
f20d4158590c4e958584fa114de1b794,0,Tech Programming,17,Video Game Concepts and Critiques,chatgpt-4o-latest,gemma-2-2b-it,model_a
397deea46cfc4abba75ecbb26efbc535,1,Diverse Subjects,1,Professional Communication and Career Development,deepseek-coder-v2,gemini-1.5-pro-api-0514,model_a
2d18318d7d484d7e96fd92d09b7f99be,5,Naming Ideas,127,Name Generation,chatgpt-4o-latest,gpt-4o-2024-05-13,model_a
c3c54e9368ad472d82c9567fa25c51a7,0,Tech Programming,45,GitLab CI/CD and Automation,mistral-large-2407,phi-3-medium-4k-instruct,tie (bothbad)
bc4f255b137d48628140e6edc54c1817,1,Diverse Subjects,3,Medical Conditions and Treatments,llama-3.1-8b-instruct,claude-3-haiku-20240307,tie
c1387a2279324b36a02b290995ec5411,5,Naming Ideas,7,Songwriting and Lyrics Creation,gemma-2-27b-it,llama-3.1-70b-instruct,model_b
552b6938e62647bd9edea1e6623974cb,1,Diverse Subjects,9,Copywriting for Educational and Service Promotions,llama-3.1-405b-instruct,gemma-2-9b-it-simpo,model_a
0e35d62a551945938f98129f278a0aaa,2,Puzzles & Analysis,46,Object Movement and Positioning,gpt-4o-mini-2024-07-18,gemini-1.5-pro-exp-0801,tie
605613b4ffad42abbad978b9de52868b,0,Tech Programming,67,R Programming Tasks,gpt-4-0125-preview,reka-flash-preview-20240611,tie
72e188f574024eababe644bd706b1315,6,Language Translation,36,English Language Exercises,llama-3.1-70b-instruct,mistral-large-2407,model_b
6d048c4da73f468e848751ab9f7a14ff,0,Tech Programming,20,Computer Hardware and Performance,gpt-4o-2024-05-13,chatgpt-4o-latest,tie
567d00f8e40c4d19b5e640ad667f56ea,1,Diverse Subjects,89,Testicular Tissue Culture and Spermatogenesis,gemma-2-27b-it,gpt-4-0613,model_b
e159033965f548d0af5506838169d711,1,Diverse Subjects,86,International and Comparative Law,command-r-plus,gpt-4o-2024-05-13,tie
b331ed1f57fb486eb47028802b0c978b,4,AI Systems,35,Image Generation Prompts,eureka-chatbot,gemma-2-9b-it,tie (bothbad)
58e28b5dc2064b629550b528f88945d1,0,Tech Programming,45,GitLab CI/CD and Automation,qwen2-72b-instruct,gemma-2-9b-it,model_a
cf332aea655046e48c799ce26bd75943,1,Diverse Subjects,10,US Presidential Elections,gpt-3.5-turbo-0125,claude-3-5-sonnet-20240620,model_b
ae60d18fd0f841e19b97f1f01d0b2c5d,1,Diverse Subjects,63,Fitness and Workout Guidance,gpt-4o-mini-2024-07-18,gemma-2-27b-it,model_b
6246189f74ad41a6864b2cb6fece4e7b,2,Puzzles & Analysis,64,Logic Puzzles and Riddles,mixtral-8x22b-instruct-v0.1,llama-3.1-405b-instruct,tie (bothbad)
9e097846c49a4ef78044e1f74f726bcd,2,Puzzles & Analysis,34,Quantum Physics Simplified,reka-flash-20240722,phi-3-mini-4k-instruct-june-2024,tie
669766b22aeb418e9eebe9e88d84d81d,1,Diverse Subjects,134,Socioeconomic and Political Debates,mistral-large-2402,gpt-4-turbo-2024-04-09,model_b
77421fc1dfd442bb863949bd95165fd9,4,AI Systems,29,AI Prompt Engineering and Task Management,gpt-3.5-turbo-0125,gemini-1.5-flash-api-0514,model_b
10882abb561f4e0791e79b3340da3037,1,Diverse Subjects,1,Professional Communication and Career Development,gemini-1.5-flash-api-0514,reka-core-20240722,model_b
53744b508aa74949be3921f1e8650366,2,Puzzles & Analysis,102,Liquid Measurement Puzzles,mistral-large-2407,reka-core-20240722,tie (bothbad)
5353339017b6436387b99b6742443eef,1,Diverse Subjects,33,Modern Dating and Relationships,gemma-2-27b-it,mixtral-8x22b-instruct-v0.1,model_a
6ad5566d236e46ba983bd75fd97cee2a,5,Naming Ideas,129,Car Comparisons and Specifications,claude-3-5-sonnet-20240620,athene-70b-0725,model_b
0ace1f761e494a22b504c1ac8d5296e6,1,Diverse Subjects,85,Academic Writing and Research Methodology,claude-3-sonnet-20240229,qwen2-72b-instruct,model_b
2fc668df48ea4db280ec78cca8bf0ba1,5,Naming Ideas,99,Music Analysis and Comparison,gpt-4-0125-preview,claude-3-5-sonnet-20240620,model_b
e2402d11bff44b5d865518fe2e22f18c,0,Tech Programming,61,Competitive Programming Code Optimization,claude-3-opus-20240229,phi-3-small-8k-instruct,model_a
29892caaeca145fe9332524dcfedd47b,4,AI Systems,29,AI Prompt Engineering and Task Management,athene-70b-0725,claude-3-opus-20240229,tie (bothbad)
d46cbaa62b214a4cb6ff8ec39444685f,2,Puzzles & Analysis,0,Mathematics Problem Solving,gemini-1.5-pro-exp-0801,qwen2-72b-instruct,model_b
