index,Model,Elo rating
82,llama-2-70b-chat,1093.1482450000103
83,openchat-3.5-0106,1091.6620364815058
84,vicuna-33b,1090.8841288984722
85,snowflake-arctic-instruct,1089.806222200987
86,starling-lm-7b-alpha,1088.387375924006
87,nous-hermes-2-mixtral-8x7b-dpo,1084.3086567587404
88,gemma-1.1-7b-it,1083.664867894526
89,llama2-70b-steerlm-chat,1080.636512872105
90,pplx-70b-online,1078.0232763037413
91,deepseek-llm-67b-chat,1076.9095023495074
92,openchat-3.5,1076.4344589867624
93,openhermes-2.5-mistral-7b,1074.8468705395542
94,mistral-7b-instruct-v0.2,1072.2906472717677
95,qwen1.5-7b-chat,1070.0881627298072
96,phi-3-mini-4k-instruct-june-2024,1069.9737680572998
97,gpt-3.5-turbo-1106,1067.9647915684445
98,phi-3-mini-4k-instruct,1066.0907154620202
99,llama-2-13b-chat,1063.3230184441481
100,dolphin-2.2.1-mistral-7b,1062.7996188910638
101,solar-10.7b-instruct-v1.0,1062.0819488819889
102,wizardlm-13b,1058.7849083474907
103,zephyr-7b-beta,1053.4103122960114
104,mpt-30b-chat,1045.6827493804672
105,pplx-7b-online,1044.697107009692
106,codellama-34b-instruct,1042.5888760526461
107,codellama-70b-instruct,1042.5787957757589
108,vicuna-13b,1042.0892897548679
109,zephyr-7b-alpha,1041.3507642911652
110,gemma-7b-it,1037.557000819253
111,llama-2-7b-chat,1037.0426673264656
112,phi-3-mini-128k-instruct,1036.8853256141942
113,qwen-14b-chat,1035.1735739516046
114,falcon-180b-chat,1034.5503375321493
115,guanaco-33b,1032.4488339013776
116,gemma-1.1-2b-it,1020.4350688212122
117,stripedhyena-nous-7b,1017.449258425068
118,olmo-7b-instruct,1015.3803633091757
119,mistral-7b-instruct,1008.159956418539
120,vicuna-7b,1005.1776634105634
121,palm-2,1003.762557850987
122,gemma-2b-it,989.7713012670048
123,qwen1.5-4b-chat,988.3617486473167
124,koala-13b,964.432715416521
125,chatglm3-6b,955.642352504324
126,gpt4all-13b-snoozy,931.8890482296957
127,mpt-7b-chat,927.7672378154393
128,chatglm2-6b,923.9717673747707
129,RWKV-4-Raven-14B,922.0067511073275
130,alpaca-13b,901.6653265386692
131,oasst-pythia-12b,893.7055367610471
132,chatglm-6b,879.1613402006424
133,fastchat-t5-3b,868.3195432147969
134,stablelm-tuned-alpha-7b,839.9622844730768
135,dolly-v2-12b,822.4817711200991
136,llama-13b,799.1510190116323
