index,Model,Elo rating
71,mixtral-8x7b-instruct-v0.1,1114.0
72,gpt-3.5-turbo-0125,1111.793506742307
73,dbrx-instruct-preview,1109.1652570274891
74,claude-instant-1,1107.3162699264744
75,phi-3-small-8k-instruct,1107.1488842963674
76,gemini-pro-dev-api,1106.0072684752272
77,yi-34b-chat,1101.9483520844924
78,gemma-2-2b-it,1100.4363244337087
79,tulu-2-dpo-70b,1098.8869790545002
80,phi-3-mini-4k-instruct-june-2024,1094.4666947001508
81,gpt-3.5-turbo-1106,1091.0479453172702
82,openchat-3.5-0106,1083.7269073191178
83,gemini-pro,1083.147525201947
84,phi-3-mini-4k-instruct,1078.5545406307797
85,wizardlm-70b,1077.1868014511065
86,gemma-1.1-7b-it,1077.0350623588745
87,snowflake-arctic-instruct,1073.5325756269292
88,starling-lm-7b-alpha,1072.8427289322065
89,llama-2-70b-chat,1070.3494656829612
90,mistral-7b-instruct-v0.2,1068.812137937351
91,openhermes-2.5-mistral-7b,1068.7753128519232
92,qwen1.5-7b-chat,1066.576785191708
93,vicuna-33b,1066.1541223793356
94,deepseek-llm-67b-chat,1065.5132350232911
95,openchat-3.5,1065.250069704543
96,solar-10.7b-instruct-v1.0,1056.2715016301754
97,nous-hermes-2-mixtral-8x7b-dpo,1052.2545283371169
98,codellama-70b-instruct,1051.7206639728572
99,dolphin-2.2.1-mistral-7b,1050.651887002535
100,llama-2-13b-chat,1049.6014618357985
101,mpt-30b-chat,1047.3304915120225
102,llama2-70b-steerlm-chat,1046.6508289634126
103,gemma-7b-it,1045.3353663121925
104,phi-3-mini-128k-instruct,1035.4116152752615
105,codellama-34b-instruct,1027.9674343047836
106,pplx-70b-online,1027.6863860179526
107,zephyr-7b-beta,1026.7100137931307
108,vicuna-13b,1025.229066302699
109,qwen-14b-chat,1023.8333942570973
110,zephyr-7b-alpha,1023.1726440772368
111,pplx-7b-online,1016.4525277461752
112,gemma-1.1-2b-it,1015.5040095539496
113,wizardlm-13b,1013.8321669416877
114,llama-2-7b-chat,1010.0544506592216
115,mistral-7b-instruct,1002.238575169589
116,falcon-180b-chat,1001.1605643239683
117,palm-2,1000.8657312464295
118,guanaco-33b,1000.6442732887946
119,stripedhyena-nous-7b,995.7901826607128
120,olmo-7b-instruct,994.1635805178504
121,vicuna-7b,989.7454534064719
122,gemma-2b-it,987.0949600313191
123,qwen1.5-4b-chat,977.5556004538811
124,chatglm3-6b,953.0896409098658
125,gpt4all-13b-snoozy,931.4973139778535
126,koala-13b,924.6583289796206
127,chatglm2-6b,914.6464546879357
128,chatglm-6b,893.7344208722337
129,mpt-7b-chat,891.1439727116219
130,RWKV-4-Raven-14B,890.9130769876027
131,oasst-pythia-12b,880.3983976371832
132,stablelm-tuned-alpha-7b,830.2132815411384
133,alpaca-13b,818.7450908826281
134,fastchat-t5-3b,808.7258675762525
135,dolly-v2-12b,797.3932600952013
136,llama-13b,721.7465084684558
